,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_with_Bank,Total_Bank_Products,Months_Inactive,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Average_Monthly_Spend,Total_Amt_Chng_Q4_Q1,Total_Yearly_Spend,Total_Transaction_Count,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
24,789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0
25,771071958,Existing Customer,41,F,16,Graduate,Single,Less than $40K,Blue,34,30,4,11,7262,9837,8094,2,4344,70,3,1
26,720466383,Existing Customer,59,M,4,High School,Unknown,$40K - $60K,Blue,50,6,5,12,76592,2369,30795,1,3979,122,3,0
27,804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215,1010,9205,0.843,1904,40,1,0.099
28,718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,5,2,2,10100,0,10100,0.525,1052,18,1.571,0
29,806624208,Existing Customer,47,M,17,High School,Married,$40K - $60K,Blue,45,9,0,0,24790,2348,7861,1,3474,202,2,1
30,778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,3,2,3,2753,1811,942,0.977,1038,25,2.571,0.658
31,712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451,1690,761,1.323,1596,26,1.6,0.69
32,709029408,Existing Customer,41,M,21,Graduate,Married,$60K - $80K,Blue,43,20,4,11,8342,14835,8502,4,6567,77,5,1
33,788658483,Existing Customer,53,F,7,College,Married,Less than $40K,Blue,137,15,4,15,13317,2220,992,9,6877,18,5,2
34,787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,59,30,9,11,11738,9996,14411,1,5335,77,2,1
35,715318008,Existing Customer,55,F,3,College,Single,Less than $40K,Blue,130,12,4,5,17689,2852,1374,3,6858,27,2,2
36,713962233,Existing Customer,55,F,16,Graduate,Married,Less than $40K,Blue,43,30,9,17,2837,13545,978,4,7757,118,4,4
37,785432733,Existing Customer,42,F,17,High School,Married,Less than $40K,Gold,39,3,14,17,79955,0,35441,1,3211,117,3,0
38,715190283,Existing Customer,57,F,5,Graduate,Unknown,$40K - $60K,Blue,59,15,13,11,3433,5222,3697,3,6050,89,2,1
39,708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,279,29,20,5,25162,1323,37364,2,1013,61,0,0
40,827111283,Existing Customer,45,M,16,Graduate,Single,$80K - $120K,Blue,49,10,9,11,30315,3407,42267,2,4583,89,2,0
41,758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355
42,773146383,Existing Customer,50,F,3,College,Single,$40K - $60K,Silver,156,9,4,15,86958,3751,12651,7,8559,21,6,1
43,778493808,Existing Customer,49,M,13,High School,Married,$60K - $80K,Blue,40,7,9,6,20236,0,8970,2,5837,170,2,0
44,720572508,Existing Customer,38,F,21,Graduate,Single,Unknown,Blue,34,10,13,17,9190,12112,10319,2,4306,73,3,1
45,712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0
46,789172683,Existing Customer,56,M,6,Doctorate,Married,$60K - $80K,Blue,224,35,10,0,7288,3128,4380,5,2505,103,1,3
47,738406533,Existing Customer,59,M,3,Doctorate,Married,$40K - $60K,Blue,259,17,10,3,8134,4418,2711,6,2473,103,2,4
48,799723908,Existing Customer,46,M,13,High School,Married,$80K - $120K,Blue,43,6,14,17,100807,2474,41389,1,4045,144,2,0
49,771490833,Existing Customer,52,M,3,College,Single,$80K - $120K,Blue,145,15,2,5,23845,1828,3010,3,5556,25,3,1
50,720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591
51,779471883,Attrited Customer,54,F,5,Graduate,Married,Less than $40K,Blue,48,10,13,6,1345,4762,836,2,2914,61,3,3
52,711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,58,4,19,12,16428,3757,2278,2,6469,202,5,3
53,712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,4,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127
54,714374133,Attrited Customer,56,M,10,Graduate,Married,$120K +,Blue,43,5,13,17,14742,0,20928,2,2488,48,1,0
55,717891558,Existing Customer,49,F,21,Graduate,Unknown,Less than $40K,Blue,43,30,18,11,3083,12967,1457,2,4348,102,2,3
56,716632758,Existing Customer,49,F,16,Graduate,Single,Less than $40K,Blue,43,10,9,0,2620,13928,583,2,5352,128,2,4
57,768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422
58,711427458,Existing Customer,44,F,26,Graduate,Married,Unknown,Blue,42,20,4,11,5865,5764,7027,5,5616,80,4,1
59,714091983,Existing Customer,42,M,9,High School,Single,$60K - $80K,Blue,37,6,19,17,17283,3022,3635,1,3883,144,3,2
60,787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587
61,712030833,Attrited Customer,48,M,10,Graduate,Married,$60K - $80K,Silver,42,10,18,23,32269,0,45808,2,2856,48,2,0
62,711481533,Existing Customer,39,M,4,High School,Divorced,$60K - $80K,Blue,36,7,14,17,30701,2157,10736,1,4374,149,3,1
63,710082708,Existing Customer,44,M,21,Post-Graduate,Single,$120K +,Blue,134,8,6,4,21547,6033,117937,6,5664,23,1,0
64,708155733,Existing Customer,53,M,9,High School,Single,$120K +,Blue,47,6,9,12,76333,2817,30083,1,4285,122,2,0
65,788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044
66,807986133,Existing Customer,57,M,7,College,Married,$60K - $80K,Blue,188,15,7,15,33087,2708,4078,3,6595,22,3,1
67,788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084,1468,616,1.004,1132,28,0.556,0.704
68,711314058,Existing Customer,49,M,10,Graduate,Married,$60K - $80K,Blue,38,10,9,11,1577,6525,770,4,6902,54,8,3
69,717975333,Existing Customer,50,M,6,Doctorate,Married,$80K - $120K,Blue,189,35,10,3,80766,2909,123074,3,1204,57,2,0
70,715971108,Existing Customer,51,M,21,Graduate,Single,$120K +,Blue,51,15,9,17,32269,10391,43468,3,6406,131,3,0
71,720096558,Existing Customer,55,F,10,Graduate,Married,Less than $40K,Blue,51,25,13,17,2072,6094,1569,2,6364,115,1,2
72,719580033,Existing Customer,54,M,5,Graduate,Unknown,$60K - $80K,Blue,52,20,9,17,2721,11965,1168,2,5191,67,1,3
73,820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067
74,789973308,Existing Customer,44,M,3,College,Single,$60K - $80K,Blue,127,9,7,15,122176,2879,19147,7,6536,15,6,0
75,712876233,Existing Customer,53,M,10,Graduate,Single,$80K - $120K,Blue,43,25,13,11,4929,8929,4986,2,5327,105,1,1
76,804595158,Existing Customer,44,F,21,Graduate,Single,Less than $40K,Blue,43,30,18,11,6544,14835,5950,1,4596,73,6,2
77,714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256
78,779058108,Existing Customer,49,M,16,Graduate,Divorced,$60K - $80K,Blue,36,30,4,11,2371,10745,946,2,6067,73,1,3
79,710790258,Existing Customer,47,M,10,Graduate,Married,$80K - $120K,Blue,46,30,13,11,27022,11193,35839,2,5513,112,1,0
80,715623483,Existing Customer,47,M,16,Graduate,Married,$60K - $80K,Blue,44,20,18,0,8009,9990,9120,3,6021,131,5,1
81,715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516,1533,32983,0.924,1603,29,0.526,0.044
82,711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158,0,2158,0.585,615,12,0.714,0
83,755420433,Existing Customer,59,F,5,Graduate,Married,Unknown,Blue,63,10,13,17,9473,8352,11567,1,4414,64,3,1
84,794543958,Existing Customer,53,M,5,Graduate,Divorced,$80K - $120K,Blue,42,25,18,11,32269,7185,44190,3,6571,86,7,0
85,716396358,Existing Customer,52,M,10,Graduate,Married,$60K - $80K,Blue,57,25,13,0,2884,11258,1559,2,6327,112,2,3
86,715398033,Existing Customer,53,M,9,High School,Single,$120K +,Blue,38,6,9,6,98642,3545,39003,1,4029,165,2,0
87,711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026,0,4026,0.483,1237,32,0.6,0
88,719720058,Existing Customer,44,M,13,High School,Single,$60K - $80K,Blue,33,6,14,6,66086,1443,27371,3,4697,75,4,0
89,778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5,3,3,5266,0,5266,1.702,1516,29,1.636,0
90,717539808,Existing Customer,51,F,9,High School,Single,Less than $40K,Blue,39,4,9,12,51445,0,22804,1,4242,112,3,0
91,714070758,Existing Customer,49,M,17,High School,Single,$80K - $120K,Blue,41,6,14,0,162168,3367,67398,1,5199,186,5,0
92,714107958,Existing Customer,45,M,5,Graduate,Single,$40K - $60K,Blue,43,20,18,17,6148,0,8727,1,6055,109,2,0
93,789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,51,25,18,6,2491,12006,832,2,5315,93,3,4
94,715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,5,1,2,2535,2440,95,1.705,1312,20,1.222,0.963
95,719712633,Existing Customer,64,M,5,Graduate,Married,Less than $40K,Blue,63,30,18,17,1598,5275,1080,4,6914,102,3,3
96,772629333,Existing Customer,45,M,16,Graduate,Married,$40K - $60K,Blue,42,25,18,11,3229,7073,2991,1,5426,96,1,2
97,720336708,Existing Customer,53,M,9,Doctorate,Married,$40K - $60K,Blue,174,29,15,3,12096,3731,10695,2,2315,160,1,2
98,802013583,Existing Customer,56,M,10,College,Married,$120K +,Blue,181,9,4,0,48690,3353,6364,3,5644,12,3,1
99,711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449,1628,3821,0.696,836,18,0.385,0.299
100,714778833,Existing Customer,49,F,10,College,Single,Unknown,Blue,156,12,9,0,115743,2921,18028,3,6283,14,5,0
101,713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,5,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059
102,779155158,Existing Customer,53,M,16,Graduate,Married,$120K +,Blue,41,30,9,11,2749,7450,2224,1,5203,105,2,2
103,721091583,Existing Customer,44,F,10,Graduate,Single,Less than $40K,Blue,38,15,13,17,2834,11075,1529,2,5364,48,5,3
104,713572683,Existing Customer,44,M,13,High School,Unknown,$60K - $80K,Blue,27,4,14,0,9647,0,4276,1,4075,181,2,0
105,716657058,Existing Customer,43,F,21,Post-Graduate,Married,Less than $40K,Blue,138,8,4,6,7517,2658,40106,5,6951,33,1,0
106,779509983,Existing Customer,53,M,10,Post-Graduate,Single,$120K +,Blue,150,24,1,4,31044,2672,181237,5,4536,19,2,0
107,717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450,2440,12010,1.283,1235,30,0.667,0.169
108,808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0
109,708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058
110,710916408,Existing Customer,57,M,21,Graduate,Married,$60K - $80K,Blue,47,20,13,0,7915,11116,8733,1,5546,102,1,1
111,708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,5,3,3,15088,865,14223,0.939,1107,21,1.625,0.057
112,799825758,Existing Customer,42,M,17,High School,Divorced,$60K - $80K,Blue,39,7,5,12,16905,2886,3649,1,4158,186,1,2
113,718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494,706,788,1.674,1305,24,3,0.473
114,711844758,Existing Customer,48,M,16,Graduate,Single,$80K - $120K,Blue,42,30,4,0,12669,7627,16267,2,5736,118,3,0
115,714798783,Existing Customer,49,M,5,Graduate,Single,$80K - $120K,Blue,43,30,9,11,17656,5275,23877,4,5104,58,5,0
116,826762908,Existing Customer,52,M,13,High School,Unknown,$80K - $120K,Blue,52,4,9,0,62045,2195,24579,1,6944,192,3,0
117,771894558,Existing Customer,50,M,13,High School,Single,$80K - $120K,Blue,42,6,5,23,51621,2688,19301,3,5405,133,2,1
118,721074183,Existing Customer,49,M,3,Doctorate,Married,$60K - $80K,Blue,179,23,30,5,77123,2616,117904,2,1598,91,1,0
119,715259583,Existing Customer,53,F,9,High School,Married,Less than $40K,Blue,47,4,9,17,27779,3277,7948,1,5162,202,2,1
120,718414008,Existing Customer,50,M,10,Graduate,Single,$120K +,Blue,43,15,9,11,32269,6030,44450,2,4397,42,2,0
121,719666283,Existing Customer,55,F,3,Doctorate,Married,Less than $40K,Blue,179,23,5,0,10132,4267,6280,2,1788,110,1,3
122,714877233,Existing Customer,53,M,4,High School,Married,$80K - $120K,Blue,51,4,9,12,63526,3165,23943,2,5515,202,4,1
123,785387883,Existing Customer,47,F,13,High School,Single,$40K - $60K,Blue,44,6,14,17,19625,2655,5162,1,5299,250,1,2
124,771075258,Existing Customer,55,M,7,College,Single,$120K +,Silver,152,6,7,10,173454,2276,28224,3,6180,27,2,0
125,711318033,Existing Customer,47,M,16,Graduate,Single,$60K - $80K,Blue,43,20,9,11,2736,0,3883,2,5389,77,3,0
126,783554958,Existing Customer,58,M,21,Graduate,Single,$120K +,Blue,63,30,4,0,30001,0,42588,1,5654,96,1,0
127,720201033,Attrited Customer,53,M,10,Graduate,Married,$80K - $120K,Blue,49,15,13,11,10909,13126,12531,1,2976,73,1,1
128,718039683,Existing Customer,52,M,9,High School,Single,$40K - $60K,Blue,49,4,5,12,70106,2241,28090,1,5056,154,4,0
129,710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888,2090,9798,0.7,1137,30,0.765,0.176
130,714752208,Existing Customer,42,F,5,Graduate,Married,Less than $40K,Blue,43,25,4,11,2237,11700,541,2,4042,51,3,4
131,822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412
132,714490308,Existing Customer,57,M,21,Graduate,Married,$80K - $120K,Blue,55,15,9,17,18015,9796,23368,3,6468,89,5,0
133,713356833,Existing Customer,52,M,5,Graduate,Married,$80K - $120K,Blue,52,15,4,23,3468,14835,1583,3,6522,109,2,3
134,711402333,Existing Customer,47,M,6,Doctorate,Single,Less than $40K,Blue,184,12,5,5,10327,1743,12518,1,2148,122,1,1
135,708296883,Existing Customer,44,F,16,Graduate,Single,$40K - $60K,Blue,46,15,4,0,10984,4645,14547,2,4868,86,3,0
136,719154483,Existing Customer,53,M,9,High School,Divorced,$60K - $80K,Blue,39,7,14,12,40166,3621,12982,1,3294,138,2,1
137,717721458,Existing Customer,45,M,14,College,Divorced,$60K - $80K,Blue,145,15,2,0,52304,1767,7890,8,12477,27,6,0
138,711112683,Existing Customer,63,F,3,College,Married,Unknown,Blue,130,18,4,15,19935,2337,2052,6,8076,18,6,1
139,715674483,Existing Customer,39,F,10,Post-Graduate,Single,Less than $40K,Blue,113,16,3,4,5581,7224,19902,6,5344,17,1,0
140,789322833,Attrited Customer,48,F,21,High School,Married,Less than $40K,Blue,41,1,14,17,41576,0,18429,1,2237,96,2,0
141,789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,6,2,3,9036,2327,6709,0.649,1131,18,0.636,0.258
142,709919283,Existing Customer,54,M,21,Graduate,Married,$80K - $120K,Blue,41,10,13,11,13954,14835,16468,4,6513,80,5,1
143,718744008,Existing Customer,59,F,5,Graduate,Single,Less than $40K,Blue,43,15,9,17,5923,6648,6910,1,5030,64,2,1
144,767712558,Attrited Customer,59,M,3,College,Single,$60K - $80K,Blue,192,6,7,15,75274,0,12815,4,2583,6,5,0
145,712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732,0,2732,0.76,739,16,0.455,0
146,716104983,Existing Customer,41,F,10,Graduate,Single,Less than $40K,Blue,38,30,13,11,2104,12478,177,3,6683,99,9,4
147,818839983,Existing Customer,55,M,10,Graduate,Married,$120K +,Blue,60,15,9,0,10205,9053,12449,3,6579,109,3,1
148,772288758,Existing Customer,47,F,21,Graduate,Married,Unknown,Blue,43,20,4,17,5001,7238,5469,2,5550,96,4,1
149,712350858,Existing Customer,41,M,9,High School,Married,$80K - $120K,Blue,26,6,5,17,48523,1903,18973,1,4331,208,2,0
150,711009708,Existing Customer,40,M,13,High School,Single,$80K - $120K,Blue,30,7,5,0,111992,0,49642,1,4491,117,1,0
151,712720158,Existing Customer,68,M,5,Graduate,Married,Unknown,Blue,67,25,9,17,12958,9737,16202,3,7894,102,6,1
152,712215258,Existing Customer,50,F,5,Graduate,Single,$40K - $60K,Silver,37,10,9,17,17189,0,24401,2,5364,70,2,0
153,773827008,Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405,1540,865,0.469,1087,29,1.231,0.64
154,795232683,Existing Customer,53,F,3,College,Married,Less than $40K,Blue,170,12,4,15,10825,1386,1047,11,7014,16,7,1
155,713786508,Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038,0,2038,0.786,1238,28,0.75,0
156,713539833,Existing Customer,48,F,17,High School,Single,$40K - $60K,Blue,41,9,5,17,42145,0,18681,2,5704,154,2,0
157,712454058,Existing Customer,49,M,3,Doctorate,Married,$120K +,Blue,189,35,5,5,29893,1352,44907,1,1581,103,1,0
158,718759833,Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver,35,4,3,2,32643,0,32643,1.3,1058,24,2.429,0
159,718803333,Existing Customer,43,F,21,Graduate,Divorced,Less than $40K,Blue,41,10,13,6,2987,11517,1647,2,5311,93,2,3
160,720253908,Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue,46,7,9,6,14776,1765,4198,1,5488,149,2,1
161,714133158,Existing Customer,59,F,3,College,Single,Unknown,Blue,130,6,7,15,21227,1945,2497,4,5615,20,4,1
162,713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459,2071,18388,1.248,1767,38,2.167,0.101
163,714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482,2114,1368,0.508,1039,24,0.263,0.607
164,772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065,1570,1495,1.077,1130,28,1.333,0.512
165,710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185,1761,424,0.682,1645,30,0.429,0.806
166,714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611,746,865,0.993,1413,29,0.706,0.463
167,715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822,2173,649,1.456,1218,23,2.286,0.77
168,713741358,Attrited Customer,46,M,26,Graduate,Single,$80K - $120K,Blue,40,30,13,17,30828,14835,40422,1,2467,54,2,0
169,709531908,Existing Customer,53,M,13,High School,Married,$60K - $80K,Blue,51,7,9,12,7451,0,3303,1,7260,282,2,0
170,716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,36,4,3,3,15875,1719,14156,0.86,1592,37,1.467,0.108
171,714141108,Existing Customer,52,F,4,High School,Married,Less than $40K,Blue,49,9,14,17,34727,1540,13342,1,4614,149,2,1
172,708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212,0,3212,0.713,757,20,0.25,0
173,712608783,Existing Customer,50,M,9,High School,Married,$80K - $120K,Silver,49,4,5,17,178819,2172,76370,1,4999,181,2,0
174,820353558,Existing Customer,41,F,13,High School,Married,$40K - $60K,Blue,39,6,5,12,50756,2472,19205,1,4996,181,1,1
175,714964758,Existing Customer,45,F,26,Graduate,Divorced,$40K - $60K,Blue,43,25,9,11,9723,10474,11444,2,4567,89,3,1
176,716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792,1836,24956,1.432,2398,47,0.88,0.069
177,717296808,Existing Customer,67,F,5,Graduate,Married,Less than $40K,Blue,67,20,13,11,2810,14835,649,5,6865,102,3,4
178,712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482,1072,18410,0.706,1421,22,1.444,0.055
179,710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356,985,2371,0.35,999,28,0.556,0.294
180,779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771,2248,3523,1.791,1387,18,0.8,0.39
181,715315833,Existing Customer,51,M,16,Graduate,Married,$80K - $120K,Blue,43,30,9,17,10383,12419,11943,2,5137,77,3,1
182,815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890,2001,889,1.334,1860,36,1,0.692
183,719360583,Existing Customer,53,M,5,Graduate,Married,$60K - $80K,Blue,54,30,9,11,3160,10026,2228,2,6207,80,4,2
184,709701558,Existing Customer,47,M,16,Graduate,Married,$60K - $80K,Blue,43,10,4,11,19942,7373,26649,2,6034,160,4,0
185,721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,38,6,2,1,12860,0,12860,0.646,1348,27,0.286,0
186,779862408,Existing Customer,49,M,16,Post-Graduate,Single,$80K - $120K,Blue,138,12,1,0,5646,1326,31385,7,4825,29,2,0
187,812627208,Existing Customer,60,F,0,College,Single,Less than $40K,Blue,199,15,2,15,7228,1100,599,4,5976,21,3,2
188,711033408,Existing Customer,50,F,9,High School,Married,Less than $40K,Blue,39,7,5,12,48466,2803,17749,1,4089,149,2,1
189,779956608,Existing Customer,41,F,10,Post-Graduate,Married,Unknown,Blue,130,24,1,6,18670,0,112018,4,6902,29,1,0
190,780376683,Existing Customer,57,M,5,Graduate,Married,$80K - $120K,Blue,57,25,13,6,13661,11647,16770,4,7551,77,10,1
191,717912483,Existing Customer,43,M,21,Graduate,Unknown,$80K - $120K,Blue,32,25,9,0,25484,0,36177,2,5687,112,2,0
192,714454758,Existing Customer,57,F,16,Graduate,Married,Less than $40K,Blue,57,20,9,17,5934,9395,6308,2,7319,118,2,1
193,780466533,Existing Customer,54,M,9,Doctorate,Married,$120K +,Blue,204,17,15,0,68929,3666,102259,3,2695,198,1,0
194,715735233,Existing Customer,51,F,26,Post-Graduate,Married,Less than $40K,Blue,184,20,1,2,3102,4587,9989,6,7452,37,1,0
195,720476733,Existing Customer,47,F,13,High School,Married,Less than $40K,Blue,37,3,5,12,31230,1378,12008,1,3331,117,1,1
196,715872333,Existing Customer,41,M,0,High School,Unknown,$120K +,Blue,39,4,9,17,94362,3445,37239,1,4468,112,3,0
197,712375758,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,16393,1423,14970,1.642,1461,42,0.75,0.087
198,708868233,Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue,56,1,14,12,7451,1552,1236,1,2526,112,2,2
199,718030083,Existing Customer,59,M,3,College,Married,$60K - $80K,Blue,130,12,2,10,39554,2514,5291,6,6960,14,7,1
200,720707283,Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue,36,5,3,0,5288,866,4422,0.869,1777,42,0.75,0.164
